,First Last Name,team,position,points,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation,count
0,A. Flagler,Oklahoma City Thunder,F,0,6,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,A.J. Green,Milwaukee Bucks,G,72,146,24,55,410.6,5,6,266.7,19,47,375.3,1,16,17,10,9,3,6,1,-20,99,89,82,27,521.5390625,12.2890625,12.9765625,38.0390625,654.2265625,532.5,644.40625,24.125,10
2,A.J. Lawson,Dallas Mavericks,G,14,31,6,13,170.0,1,4,50.0,1,4,50.0,2,4,6,1,4,0,0,1,-7,21,20,15,7,27.530864197530864,5.08641975308642,0.7530864197530864,0.8271604938271604,31.197530864197528,30.0,27.5679012345679,7.0,4
3,Aaron Gordon,Denver Nuggets,PF,153,300,60,103,608.6,27,36,585.0,6,22,208.3,17,45,62,36,17,11,21,6,64,251,215,189,98,241.9777777777778,150.0,30.444444444444446,4.4,617.4,683.7111111111111,219.8,136.3111111111111,10
4,Aaron Holiday,Houston Rockets,G,63,130,23,53,270.5,5,7,150.0,12,24,302.5,4,5,9,16,15,3,7,1,-39,88,72,79,25,484.25951557093424,9.373702422145328,14.505190311418684,23.688581314878896,662.6228373702422,598.2560553633218,539.4290657439446,33.07612456747405,10
5,Aaron Nesmith,Indiana Pacers,SF,112,272,39,81,463.5,19,28,498.8,15,41,356.5,5,25,30,17,33,9,13,5,6,159,142,129,47,379.77514792899404,55.14792899408285,16.786982248520708,11.698224852071007,746.6094674556214,645.0177514792898,440.5147928994083,112.7869822485207,10
6,Aaron Wiggins,Oklahoma City Thunder,SG,62,158,23,46,480.0,9,10,450.0,7,17,316.7,9,11,20,5,9,10,10,5,29,87,82,67,25,157.97530864197532,14.444444444444443,5.611111111111112,7.790123456790124,213.58641975308643,186.4938271604938,186.62345679012347,18.5,10
7,Al Horford,Boston Celtics,C,84,260,34,63,499.8,5,6,250.0,11,28,309.4,13,45,58,21,11,8,4,12,84,163,142,105,79,206.0,17.632653061224488,62.90816326530613,15.030612244897958,553.4795918367347,302.7755102040816,424.3367346938776,112.90816326530613,10
8,Alec Burks,New York Knicks,SG,87,165,31,96,311.0,11,17,358.3,14,47,288.9,5,13,18,9,7,2,9,1,-53,114,105,96,27,297.31111111111113,13.111111111111109,5.399999999999999,10.8,360.0,352.59999999999997,302.44444444444446,20.77777777777777,10
9,Aleksej Pokusevski,Oklahoma City Thunder,F,4,13,1,3,50.0,1,2,50.0,1,2,100.0,0,1,1,0,0,1,0,0,-8,5,5,4,1,8.0,0.5,0.0,0.5,12.5,12.5,8.0,0.5,2
10,Alex Caruso,Chicago Bulls,SG,81,307,29,78,375.3,9,10,300.0,14,49,298.4,6,35,41,35,26,25,13,13,15,157,122,116,76,135.4,52.91111111111111,38.51111111111111,12.577777777777778,131.3111111111111,144.44444444444443,113.24444444444444,100.44444444444444,10
11,Alex Len,Sacramento Kings,C,29,83,13,24,386.7,3,7,60.0,0,1,0.0,9,14,23,2,12,4,5,7,11,54,52,31,25,91.69421487603304,6.289256198347107,1.603305785123967,0.0,100.92561983471077,89.88429752066116,107.0,3.6280991735537182,8
12,Alondes Williams,Miami Heat,G,0,6,0,1,0.0,0,0,0.0,0,1,0.0,0,1,1,0,0,0,1,0,-2,1,1,0,1,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,1
13,Alperen Sengun,Houston Rockets,C,213,333,81,154,526.0,46,73,664.0,5,14,250.0,37,63,100,49,39,15,29,10,-17,362,313,262,149,798.7231833910034,254.18685121107265,118.95155709342562,4.508650519031142,1809.60553633218,1588.3702422145327,894.0968858131487,499.0,10
14,Amen Thompson,Houston Rockets,F,89,239,37,78,406.6,14,25,368.3,1,11,33.3,31,41,72,20,25,18,13,12,-29,181,161,109,92,503.6111111111111,106.5,25.97530864197531,0.9197530864197531,965.1234567901234,768.1111111111111,661.9567901234568,171.14197530864197,10
15,Amir Coffey,LA Clippers,SG,60,234,22,52,382.1,9,10,450.0,7,22,308.3,5,16,21,16,17,10,6,1,-38,97,81,76,37,236.3213296398892,29.565096952908586,13.20775623268698,7.0,294.5346260387812,291.02770083102496,261.5623268698061,21.038781163434905,10
16,Andre Drummond,Chicago Bulls,C,99,213,41,81,475.1,17,24,675.0,0,1,0.0,35,71,106,2,25,4,13,7,7,207,205,101,108,245.63667820069205,347.3287197231834,1.6124567474048443,0.0,976.432525951557,940.7162629757786,256.1349480968858,374.159169550173,10
17,Andre Jr. Jackson,Milwaukee Bucks,G,8,62,3,8,233.3,0,0,0.0,2,5,200.0,0,8,8,8,6,3,2,0,-3,24,16,16,16,11.58677685950413,3.0,8.256198347107436,1.4380165289256195,32.2809917355372,25.132231404958677,17.644628099173552,12.347107438016527,5
18,Andrew Nembhard,Indiana Pacers,PG,100,297,43,81,576.2,2,3,66.7,12,26,566.7,6,19,25,35,20,16,10,1,-2,160,125,135,60,71.46020761245674,30.577854671280274,41.96193771626297,5.6678200692041525,144.8650519031142,93.07612456747404,116.92387543252595,78.86505190311419,10
19,Andrew Wiggins,Golden State Warriors,SF,141,265,55,106,500.7,12,15,566.7,19,38,523.3,13,32,45,25,17,12,8,4,41,211,186,166,70,274.77777777777777,61.4,19.044444444444444,5.444444444444445,413.79999999999995,453.7777777777777,240.40000000000003,74.84444444444443,10
20,Anfernee Simons,Portland Trail Blazers,SG,218,356,77,192,395.9,31,32,885.7,33,91,355.1,3,35,38,62,28,3,33,0,-47,318,256,280,100,796.0,27.65625,115.6015625,24.1015625,1192.2890625,785.15625,1160.3515625,186.0390625,10
21,Anthony Black,Orlando Magic,G,74,228,24,52,416.9,13,18,550.0,13,24,408.3,7,22,29,12,16,6,8,3,45,115,103,86,41,279.40625,57.0,4.0,17.0,420.15625,405.65625,293.90625,61.0,10
22,Anthony Davis,Los Angeles Lakers,PF,249,350,92,162,563.5,63,74,758.4,2,12,66.6,29,103,132,21,21,8,17,26,23,402,381,270,153,638.4878892733565,29.813148788927332,34.4878892733564,1.6885813148788926,845.8131487889274,873.6712802768167,636.0,38.930795847750865,10
23,Anthony Edwards,Minnesota Timberwolves,SG,274,339,96,207,446.0,59,67,887.6,23,73,321.9,2,50,52,44,12,16,21,6,98,370,326,318,96,815.5640138408305,49.61245674740485,46.0,20.840830449826992,982.8650519031141,935.3356401384083,828.2698961937717,130.43598615916954,10
