,game_id,team name,points,assists,offReb,defReb,totReb,steals,turnovers,blocks,tpm,tpa,plusMinus,fastBreakPoints,pointsInPaint,biggestLead,secondChancePoints,pointsOffTurnovers,longestRun,fgm,fga,ftm,fta,pfouls,id,date
0,13554,Rockets,127,27,13,36,49,7,16,6,17,45,10,,,,,,,47,93,16,20,21,13554,2024-03-22
1,13554,Bulls,117,23,12,31,43,8,11,3,12,31,-10,,,,,,,42,93,21,25,17,13554,2024-03-22
2,13555,Bucks,115,27,11,29,40,5,10,4,16,41,7,,,,,,,43,91,13,15,17,13555,2024-03-22
3,13555,Nets,108,29,15,34,49,7,14,1,13,44,-7,,,,,,,41,92,13,16,12,13555,2024-03-22
4,13556,Mavericks,113,33,11,32,43,12,13,3,10,32,16,,,,,,,43,86,17,28,20,13556,2024-03-22
5,13556,Jazz,97,29,5,33,38,6,18,3,4,30,-16,,,,,,,38,83,17,19,23,13556,2024-03-22
6,13557,Nuggets,113,31,9,33,42,5,10,4,6,20,13,,,,,,,45,84,17,20,14,13557,2024-03-22
7,13557,Knicks,100,28,4,27,31,6,10,6,11,31,-13,,,,,,,38,79,13,17,18,13557,2024-03-22
8,13558,Suns,128,28,7,31,38,4,17,11,22,41,13,,,,,,,41,74,24,27,19,13558,2024-03-22
9,13558,Hawks,115,27,12,24,36,11,11,3,12,35,-13,,,,,,,40,91,23,29,23,13558,2024-03-22
10,13548,Thunder,119,29,10,35,45,10,10,7,10,34,12,,,,,,,43,88,23,29,16,13548,2024-03-21
11,13548,Jazz,107,20,11,36,47,6,16,5,10,36,-12,,,,,,,40,90,17,18,22,13548,2024-03-21
12,13549,Warriors,137,43,13,35,48,6,7,5,19,39,21,,,,,,,58,100,2,6,17,13549,2024-03-21
13,13549,Grizzlies,116,29,16,29,45,4,12,3,18,49,-21,,,,,,,42,96,14,18,15,13549,2024-03-21
14,13550,Suns,115,34,14,41,55,7,23,12,19,39,13,,,,,,,45,90,6,8,18,13550,2024-03-21
15,13550,76ers,102,33,13,27,40,12,11,7,13,37,-13,,,,,,,41,95,7,18,12,13550,2024-03-21
16,13551,Trail Blazers,103,21,8,30,38,6,17,4,15,34,-13,,,,,,,39,81,10,15,16,13551,2024-03-21
17,13551,Clippers,116,29,8,34,42,15,12,7,13,31,13,,,,,,,45,86,13,15,13,13551,2024-03-21
18,13552,Magic,121,33,10,30,40,12,16,4,14,36,15,,,,,,,47,86,13,19,16,13552,2024-03-21
19,13552,Pelicans,106,24,3,30,33,11,19,1,6,20,-15,,,,,,,42,78,16,21,18,13552,2024-03-21
20,13553,Wizards,109,20,10,35,45,9,20,3,10,25,7,,,,,,,41,81,17,23,19,13553,2024-03-21
21,13553,Kings,102,21,10,27,37,12,15,7,11,39,-7,,,,,,,37,86,17,19,20,13553,2024-03-21
22,13542,Spurs,107,31,9,39,48,6,16,10,14,39,-6,,,,,,,39,89,15,21,14,13542,2024-03-20
23,13542,Mavericks,113,31,3,37,40,6,9,3,10,29,6,,,,,,,44,91,15,17,18,13542,2024-03-20
24,13543,Timberwolves,112,25,8,29,37,10,7,7,12,35,-3,,,,,,,42,88,16,23,16,13543,2024-03-20
25,13543,Nuggets,115,26,11,38,49,5,17,1,14,27,3,,,,,,,42,81,17,22,19,13543,2024-03-20
26,13544,Cavaliers,104,30,6,31,37,3,12,2,15,42,-3,,,,,,,35,75,19,22,19,13544,2024-03-20
27,13544,Heat,107,19,7,30,37,7,8,2,13,36,3,,,,,,,38,83,18,19,20,13544,2024-03-20
28,13545,Pistons,103,23,12,34,46,8,15,1,5,23,-19,,,,,,,37,90,24,30,14,13545,2024-03-20
29,13545,Pacers,122,38,5,35,40,13,13,6,11,29,19,,,,,,,50,88,11,18,16,13545,2024-03-20
30,13546,Celtics,122,25,11,26,37,6,9,5,18,40,3,,,,,,,40,85,24,29,18,13546,2024-03-20
31,13546,Bucks,119,20,9,32,41,3,15,6,17,35,-3,,,,,,,45,84,12,14,25,13546,2024-03-20
32,13547,Raptors,89,21,11,20,31,11,22,3,10,31,-34,,,,,,,33,80,13,18,15,13547,2024-03-20
33,13547,Kings,123,32,18,35,53,14,16,6,12,40,34,,,,,,,48,93,15,18,16,13547,2024-03-20
34,13534,Bulls,110,26,13,27,40,9,9,5,11,33,3,,,,,,,41,93,17,21,21,13534,2024-03-19
35,13534,Trail Blazers,107,21,13,30,43,7,13,5,8,28,-3,,,,,,,40,88,19,25,24,13534,2024-03-19
36,13535,Jazz,104,25,14,33,47,6,17,3,14,32,-10,,,,,,,39,84,12,14,13,13535,2024-03-19
37,13535,Timberwolves,114,27,12,23,35,9,9,9,16,41,10,,,,,,,44,91,10,12,15,13535,2024-03-19
38,13536,Warriors,112,29,12,27,39,7,13,5,14,36,-7,,,,,,,42,88,14,18,16,13536,2024-03-19
39,13536,Knicks,119,29,14,30,44,6,13,1,14,37,7,,,,,,,44,91,17,20,17,13536,2024-03-19
40,13537,Kings,121,30,15,44,59,7,19,10,11,35,10,,,,,,,42,94,26,32,25,13537,2024-03-19
41,13537,Grizzlies,111,22,15,34,49,13,14,7,13,38,-10,,,,,,,37,98,24,30,23,13537,2024-03-19
42,13538,Lakers,136,39,4,44,48,6,9,4,15,36,31,,,,,,,52,90,17,20,15,13538,2024-03-19
43,13538,Hawks,105,32,12,30,42,8,9,5,9,41,-31,,,,,,,42,98,12,15,14,13538,2024-03-19
44,13539,Magic,112,32,10,31,41,10,18,6,12,34,20,,,,,,,44,81,12,13,10,13539,2024-03-19
45,13539,Hornets,92,19,4,26,30,8,17,1,9,29,-20,,,,,,,38,79,7,9,13,13539,2024-03-19
46,13540,Wizards,114,24,17,27,44,6,11,2,15,39,-23,,,,,,,42,98,15,20,27,13540,2024-03-19
47,13540,Rockets,137,25,12,35,47,6,7,11,13,39,23,,,,,,,47,91,30,36,15,13540,2024-03-19
48,13541,Nets,91,19,14,28,42,6,14,4,12,40,-13,,,,,,,31,84,17,22,13,13541,2024-03-19
49,13541,Pelicans,104,29,11,37,48,7,14,5,10,34,13,,,,,,,42,83,10,13,19,13541,2024-03-19
50,13530,Clippers,93,17,10,30,40,10,16,5,11,36,-17,,,,,,,28,74,26,29,13,13530,2024-03-18
51,13530,Hawks,110,32,10,35,45,10,16,7,17,34,17,,,,,,,41,84,11,12,22,13530,2024-03-18
52,13531,Pacers,103,28,14,31,45,8,11,3,9,38,-5,,,,,,,42,91,10,16,24,13531,2024-03-18
53,13531,Cavaliers,108,27,9,30,39,8,14,4,12,32,5,,,,,,,38,80,20,28,18,13531,2024-03-18
54,13532,Celtics,119,30,15,38,53,8,11,8,22,49,25,,,,,,,43,95,11,13,9,13532,2024-03-18
55,13532,Pistons,94,21,8,35,43,6,13,3,9,29,-25,,,,,,,36,84,13,15,15,13532,2024-03-18
56,13533,76ers,98,23,7,39,46,7,12,12,13,36,7,,,,,,,37,85,11,12,16,13533,2024-03-18
57,13533,Heat,91,23,11,38,49,8,15,3,12,33,-7,,,,,,,35,89,9,14,13,13533,2024-03-18
